Category,TOTAL_EVENTS,TOTAL_SOLD,TOTAL_VOL,WEIGHTED_AVG,TOT_PER_EVENT,TD_Events,TD_Tix_Sold,TD_Vol,TN_Events,TN_Tix_Sold,TN_Vol,TN_Avg_Sale,Levi_Events,Levi_Tix_Sold,Levi_Vol,SI_Events,SI_Tix_Sold,SI_Vol,SFC_ROI,SFC_ROI_Dollar
!!! - chk chk chk,37,253,"$5,060",$20,7,37,253,"$5,060",0,0,$0,NaN,0,0,$0,0,0,$0,,
"""Kenny """"Babyface"""" Edmonds""",0,0,$0,NaN,NaN,0,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
2 Chainz,163,11867,"$745,625",$63,73,154,10621,"$659,626",0,0,$0,NaN,9,1246,"$85,999",0,0,$0,,
2 Chicago,20,1194,"$152,832",$128,60,20,1194,"$152,832",0,0,$0,NaN,0,0,$0,0,0,$0,,
2 Dope Queens,22,407,"$24,971",$61,19,22,407,"$24,971",0,0,$0,NaN,0,0,$0,0,0,$0,,
2AM,1,47,"$4,230",$90,47,1,47,"$4,230",0,0,$0,NaN,0,0,$0,0,0,$0,,
2CELLOS,73,9787,"$1,040,267",$106,134,23,1880,"$175,376",0,0,$0,NaN,49,7901,"$864,536",1,6,$355,11,$964
2NE1,2,405,"$45,360",$112,203,2,405,"$45,360",0,0,$0,NaN,0,0,$0,0,0,$0,,
2pm,4,231,"$26,103",$113,58,4,231,"$26,103",0,0,$0,NaN,0,0,$0,0,0,$0,,
3 Doors Down,249,6592,"$552,555",$84,26,156,4607,"$369,085",52,1026,"$80,859",$79,9,330,"$40,022",32,629,"$62,589",,
3 Inches of Blood,3,184,"$3,680",$20,61,3,184,"$3,680",0,0,$0,NaN,0,0,$0,0,0,$0,,
3 Redneck Tenors,1,0,$0,NaN,0,1,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
3 Redneck Tenors Parking Passes,1,0,$0,NaN,0,1,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
3LAU,39,1371,"$44,587",$33,35,32,1061,"$31,830",0,0,$0,NaN,7,310,"$12,757",0,0,$0,,
3oh!3,1,64,"$3,576",$56,64,0,0,$0,0,0,$0,NaN,1,64,"$3,576",0,0,$0,,
3OH3,44,557,"$20,609",$37,13,44,557,"$20,609",0,0,$0,NaN,0,0,$0,0,0,$0,,
5 Seconds of Summer,244,159771,"$14,431,831",$90,655,97,110862,"$8,314,650",44,704,"$70,798",$101,77,45724,"$5,795,389",26,2481,"$250,993",,
5 Seconds of Summer Parking Passes,51,750,"$16,500",$22,15,51,750,"$16,500",0,0,$0,NaN,0,0,$0,0,0,$0,,
5quad,14,50,"$1,800",$36,4,14,50,"$1,800",0,0,$0,NaN,0,0,$0,0,0,$0,,
5th Dimension,15,45,"$2,880",$64,3,15,45,"$2,880",0,0,$0,NaN,0,0,$0,0,0,$0,,
6ix9ine,2,14,$586,$42,7,0,0,$0,0,0,$0,NaN,2,14,$586,0,0,$0,,
6LACK,71,13502,"$594,770",$44,190,39,2393,"$120,891",0,0,$0,NaN,32,11109,"$473,879",0,0,$0,,
8th Annual Radio 104.5 Birthday Show,1,2414,"$206,807",$86,2414,0,0,$0,0,0,$0,NaN,1,2414,"$206,807",0,0,$0,,
10 Years,95,136,"$5,304",$39,1,91,136,"$5,304",4,0,$0,NaN,0,0,$0,0,0,$0,,
10 Years Diynamic with Solomun and Adriatique,1,119,"$14,927",$125,119,0,0,$0,0,0,$0,NaN,1,119,"$14,927",0,0,$0,,
10cc,10,51,"$2,550",$50,5,10,51,"$2,550",0,0,$0,NaN,0,0,$0,0,0,$0,,
12th Planet,33,118,"$5,310",$45,4,33,118,"$5,310",0,0,$0,NaN,0,0,$0,0,0,$0,,
16 Candles,43,101,"$2,626",$26,2,43,101,"$2,626",0,0,$0,NaN,0,0,$0,0,0,$0,,
21 Savage,57,5961,"$271,446",$46,105,43,4246,"$191,162",0,0,$0,NaN,13,1570,"$76,820",1,145,"$3,464",,
24hrs,15,0,$0,NaN,0,0,0,$0,15,0,$0,NaN,0,0,$0,0,0,$0,,
30 Seconds to Mars,87,9818,"$704,804",$72,113,26,5172,"$341,352",31,900,"$56,850",$63,1,130,"$18,066",29,3616,"$288,536",,
38 Special,124,1126,"$83,935",$75,9,111,1055,"$78,376",8,39,"$2,877",$74,3,26,"$2,197",2,6,$485,-38,-$553
42nd Street London,23,7,$343,$49,0,23,7,$343,0,0,$0,NaN,0,0,$0,0,0,$0,,
50 Cent,18,2193,"$133,828",$61,122,10,1506,"$73,794",2,30,"$1,797",$60,2,406,"$35,476",4,251,"$22,760",,
50 Shades The Smash Hit Parody Las Vegas,90,2,$350,$175,0,90,2,$350,0,0,$0,NaN,0,0,$0,0,0,$0,,
51st State Festival,2,79,"$5,135",$65,40,2,79,"$5,135",0,0,$0,NaN,0,0,$0,0,0,$0,,
54-40,16,182,"$10,028",$55,11,13,180,"$9,864",3,2,$164,$82,0,0,$0,0,0,$0,,
55,228,145600,"$1,163,576",$8,639,228,145600,"$1,163,576",0,0,$0,NaN,0,0,$0,0,0,$0,,
55,228,145600,"$1,163,576",$8,639,228,145600,"$1,163,576",0,0,$0,NaN,0,0,$0,0,0,$0,,
70s Soul Jam,30,469,"$55,034",$117,16,28,461,"$54,398",1,0,$0,NaN,0,0,$0,1,8,$636,,
80s Rewind Festival,5,63,"$5,040",$80,13,5,63,"$5,040",0,0,$0,NaN,0,0,$0,0,0,$0,,
80s Weekend,6,825,"$105,221",$128,138,4,697,"$86,693",0,0,$0,NaN,0,0,$0,2,128,"$18,528",,
88rising,3,823,"$80,547",$98,274,0,0,$0,0,0,$0,NaN,3,823,"$80,547",0,0,$0,,
89X Chill on the Hill,1,236,"$18,736",$79,236,0,0,$0,0,0,$0,NaN,1,236,"$18,736",0,0,$0,,
89x Nutcracker,1,74,"$2,368",$32,74,1,74,"$2,368",0,0,$0,NaN,0,0,$0,0,0,$0,,
90s Fest,3,38,"$1,900",$50,13,3,38,"$1,900",0,0,$0,NaN,0,0,$0,0,0,$0,,
90s Love Fest,1,12,$564,$47,12,1,12,$564,0,0,$0,NaN,0,0,$0,0,0,$0,,
91x Wrex the Halls,9,3349,"$282,333",$84,372,7,2071,"$161,818",0,0,$0,NaN,2,1278,"$120,515",0,0,$0,,
91x X Fest,6,2407,"$103,785",$43,401,5,2149,"$94,556",0,0,$0,NaN,1,258,"$9,229",0,0,$0,,
92.5 XTU Anniversary Show,4,1536,"$69,844",$45,384,3,1280,"$61,440",0,0,$0,NaN,1,256,"$8,404",0,0,$0,,
93.5 KDAY Hip-Hop Harvest,1,202,"$7,522",$37,202,0,0,$0,0,0,$0,NaN,1,202,"$7,522",0,0,$0,,
93XRT Goose Island Big Holiday Concert,1,1119,"$110,714",$99,1119,0,0,$0,0,0,$0,NaN,1,1119,"$110,714",0,0,$0,,
94.5 The Buzz/Bud Light Weenie Roast,1,173,"$14,951",$86,173,0,0,$0,0,0,$0,NaN,1,173,"$14,951",0,0,$0,,
96.5 All Star Christmas,1,839,"$107,585",$128,839,0,0,$0,0,0,$0,NaN,1,839,"$107,585",0,0,$0,,
97.1 B.F.D.,1,406,"$10,962",$27,406,1,406,"$10,962",0,0,$0,NaN,0,0,$0,0,0,$0,,
97X Next Big Thing,5,1615,"$163,809",$101,323,0,0,$0,0,0,$0,NaN,5,1615,"$163,809",0,0,$0,,
98 Degrees,129,3532,"$191,991",$54,27,70,3014,"$150,269",47,23,"$2,479",$108,12,495,"$39,244",0,0,$0,,
98 Rockfest,10,3238,"$191,042",$59,324,10,3238,"$191,042",0,0,$0,NaN,0,0,$0,0,0,$0,,
98 Rockfest Parking Passes,3,17,$323,$19,6,3,17,$323,0,0,$0,NaN,0,0,$0,0,0,$0,,
98.1 the Bull Presents Acoustic Jam,2,117,"$13,115",$112,59,0,0,$0,0,0,$0,NaN,2,117,"$13,115",0,0,$0,,
98.5 KRZ Summer Smash,1,59,"$4,425",$75,59,1,59,"$4,425",0,0,$0,NaN,0,0,$0,0,0,$0,,
98Rockfest,1,1103,"$119,587",$108,1103,0,0,$0,0,0,$0,NaN,1,1103,"$119,587",0,0,$0,,
99.5 WYCD Hoedown,1,15,"$2,449",$163,15,0,0,$0,0,0,$0,NaN,1,15,"$2,449",0,0,$0,,
99.7 NOW! Summer Splash,1,88,"$6,600",$75,88,1,88,"$6,600",0,0,$0,NaN,0,0,$0,0,0,$0,,
99.7 Triple Ho Show,6,14551,"$1,825,644",$125,2425,5,9764,"$1,093,568",0,0,$0,NaN,1,4787,"$732,076",0,0,$0,,
99.9 Kiss Country Stars and Guitars,1,273,"$29,206",$107,273,0,0,$0,0,0,$0,NaN,1,273,"$29,206",0,0,$0,,
100 Years of Broadway,3,20,"$1,320",$66,7,3,20,"$1,320",0,0,$0,NaN,0,0,$0,0,0,$0,,
101.1 WJRR''s Earthday Birthday 25,1,53,"$2,998",$57,53,0,0,$0,0,0,$0,NaN,1,53,"$2,998",0,0,$0,,
101WKQX PIQNIQ,1,425,"$24,561",$58,425,0,0,$0,0,0,$0,NaN,1,425,"$24,561",0,0,$0,,
103.3 WEDG Edgefest,1,35,"$1,750",$50,35,1,35,"$1,750",0,0,$0,NaN,0,0,$0,0,0,$0,,
104.5 Radio Annual Birthday Show,1,2414,"$206,807",$86,2414,0,0,$0,0,0,$0,NaN,1,2414,"$206,807",0,0,$0,,
104.5 Radio Annual Birthday Show Day 1,1,2204,"$96,161",$44,2204,0,0,$0,0,0,$0,NaN,1,2204,"$96,161",0,0,$0,,
106.1 KISS FM Fall Ball,1,79,"$5,202",$66,79,0,0,$0,0,0,$0,NaN,1,79,"$5,202",0,0,$0,,
112,17,348,"$27,840",$80,20,16,348,"$27,840",1,0,$0,NaN,0,0,$0,0,0,$0,,
311,364,37940,"$2,381,352",$63,104,250,31887,"$1,763,951",54,972,"$56,726",$58,30,3951,"$490,833",30,1130,"$69,842",45,$216
400 Fest,3,570,"$27,360",$48,190,3,570,"$27,360",0,0,$0,NaN,0,0,$0,0,0,$0,,
420 Eve on the Rocks,2,86,"$5,757",$67,43,0,0,$0,0,0,$0,NaN,2,86,"$5,757",0,0,$0,,
515 Alive Music Festival,1,49,"$3,920",$80,49,1,49,"$3,920",0,0,$0,NaN,0,0,$0,0,0,$0,,
1776 - The Musical,12,4,$560,$140,0,0,0,$0,12,4,$560,$140,0,0,$0,0,0,$0,,
1800 Dinosaur,5,86,"$2,580",$30,17,5,86,"$2,580",0,0,$0,NaN,0,0,$0,0,0,$0,,
1964 A Tribute to the Beatles,107,1130,"$75,660",$67,11,104,1118,"$75,010",0,0,$0,NaN,0,0,$0,3,12,$650,-36,-$288
1964 The Tribute,1,81,"$5,069",$63,81,0,0,$0,0,0,$0,NaN,1,81,"$5,069",0,0,$0,,
1984,5,73,"$8,423",$115,15,0,0,$0,0,0,$0,NaN,5,73,"$8,423",0,0,$0,16,$394
1984 Fort Lauderdale,2,0,$0,NaN,0,2,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
1984 New York,136,1328,"$173,776",$131,10,136,1328,"$173,776",0,0,$0,NaN,0,0,$0,0,0,$0,,
2017 Country Megaticket,1,919,"$63,292",$69,919,0,0,$0,0,0,$0,NaN,1,919,"$63,292",0,0,$0,,
2017 Million Dollar Show,1,559,"$72,558",$130,559,0,0,$0,0,0,$0,NaN,1,559,"$72,558",0,0,$0,,
2018 Astro Global Fan Meeting In USA,4,61,"$12,061",$198,15,0,0,$0,0,0,$0,NaN,4,61,"$12,061",0,0,$0,,
2018 Country Megaticket - Darling''s Waterfront Pavilion,1,44,"$5,334",$121,44,0,0,$0,0,0,$0,NaN,1,44,"$5,334",0,0,$0,,
2018 Country Megaticket - PNC Music Pavilion,1,2,$722,$361,2,0,0,$0,0,0,$0,NaN,1,2,$722,0,0,$0,,
2018 Country Megaticket - Riverbend Music Center,1,53,"$5,434",$103,53,0,0,$0,0,0,$0,NaN,1,53,"$5,434",0,0,$0,,
2018 Country Megaticket - Xfinity Theatre,1,8,"$1,412",$177,8,0,0,$0,0,0,$0,NaN,1,8,"$1,412",0,0,$0,,
2018 Million Dollar Show For St. Jude,1,317,"$62,718",$198,317,0,0,$0,0,0,$0,NaN,1,317,"$62,718",0,0,$0,,
10000 Maniacs,57,278,"$25,998",$94,5,49,276,"$25,724",8,2,$274,$137,0,0,$0,0,0,$0,,
A Boogie Wit Da Hoodie,56,3315,"$218,545",$66,59,38,1303,"$71,878",5,0,$0,NaN,12,1997,"$145,864",1,15,$803,,
A Bronx Tale,13,240,"$38,035",$158,18,0,0,$0,0,0,$0,NaN,13,240,"$38,035",0,0,$0,,
A Bronx Tale Atlantic City,3,125,"$12,880",$103,42,3,125,"$12,880",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Bronx Tale New York,665,5469,"$849,761",$155,8,653,5427,"$843,508",0,0,$0,NaN,0,0,$0,12,42,"$6,253",,
A Capella Festival,1,346,"$48,440",$140,346,1,346,"$48,440",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chanticleer Christmas,2,0,$0,NaN,0,1,0,$0,1,0,$0,NaN,0,0,$0,0,0,$0,,
A Charlie Brown Christmas,4,3,$444,$148,1,0,0,$0,4,3,$444,$148,0,0,$0,0,0,$0,,
A Chorus Line,94,19,"$1,137",$60,0,62,15,$825,32,4,$312,$78,0,0,$0,0,0,$0,,
A Chorus Line Albuquerque,6,0,$0,NaN,0,6,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Binghamton,2,0,$0,NaN,0,2,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Boise,3,0,$0,NaN,0,3,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Clearwater,3,8,$568,$71,3,3,8,$568,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Clearwater Parking Passes,1,0,$0,NaN,0,1,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Colorado Springs,2,0,$0,NaN,0,2,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Detroit,2,0,$0,NaN,0,2,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Eugene,3,0,$0,NaN,0,3,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Gainesville,1,0,$0,NaN,0,1,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Kansas City,8,0,$0,NaN,0,8,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Morristown,3,0,$0,NaN,0,3,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Palm Desert,5,0,$0,NaN,0,5,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Phoenix,5,0,$0,NaN,0,5,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Riverside,3,3,$117,$39,1,3,3,$117,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Santa Barbara,2,0,$0,NaN,0,2,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Sarasota,3,4,$220,$55,1,3,4,$220,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line South Bend,4,0,$0,NaN,0,4,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Chorus Line Thousand Oaks,6,0,$0,NaN,0,6,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol,1987,10774,"$852,019",$79,5,1807,10181,"$783,937",161,0,$0,NaN,19,593,"$68,082",0,0,$0,,
A Christmas Carol Albuquerque,3,0,$0,NaN,0,3,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Atlanta,45,14,"$1,386",$99,0,45,14,"$1,386",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Atlanta Parking Passes,17,0,$0,NaN,0,17,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Brampton,1,0,$0,NaN,0,1,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Buffalo,13,0,$0,NaN,0,13,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol ChardonTickets,9,0,$0,NaN,0,9,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Chicago,321,2735,"$314,525",$115,9,321,2735,"$314,525",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Cincinnati,70,36,"$4,464",$124,1,70,36,"$4,464",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Columbus,32,72,"$4,248",$59,2,32,72,"$4,248",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Dallas,77,56,"$4,760",$85,1,77,56,"$4,760",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Denver,126,392,"$41,552",$106,3,126,392,"$41,552",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Durham,19,94,"$10,528",$112,5,19,94,"$10,528",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Englewood,9,29,$928,$32,3,9,29,$928,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Englewood Parking Passes,2,0,$0,NaN,0,2,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Fort Lauderdale,7,0,$0,NaN,0,7,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Galveston,2,0,$0,NaN,0,2,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Grand Rapids,4,0,$0,NaN,0,4,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol High Point,19,0,$0,NaN,0,19,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Houston,166,237,"$22,989",$97,1,166,237,"$22,989",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Millville,7,0,$0,NaN,0,7,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Morgantown,4,0,$0,NaN,0,4,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol New York,17,6,$396,$66,0,17,6,$396,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Niagara-on-the-Lake,42,0,$0,NaN,0,42,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Oakbrook Terrace,65,39,"$1,950",$50,1,65,39,"$1,950",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Oklahoma City,26,0,$0,NaN,0,26,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Ottawa,17,2,$230,$115,0,17,2,$230,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Philadelphia,64,503,"$18,108",$36,8,64,503,"$18,108",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Red Bank,3,2,$46,$23,1,3,2,$46,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Rochester,41,0,$0,NaN,0,41,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Saint Louis,12,56,"$3,640",$65,5,12,56,"$3,640",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol San Francisco,154,724,"$47,060",$65,5,154,724,"$47,060",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Seattle,45,2,$78,$39,0,45,2,$78,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol St. Cloud,5,0,$0,NaN,0,5,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Tonawanda,1,0,$0,NaN,0,1,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Toronto,48,0,$0,NaN,0,48,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Van Wert,1,0,$0,NaN,0,1,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Washington D.C.,295,5178,"$616,182",$119,18,295,5178,"$616,182",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Woonsocket,8,0,$0,NaN,0,8,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Carol Worcester,10,4,$228,$57,0,10,4,$228,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story,182,309,"$28,497",$92,2,151,70,"$6,222",26,0,$0,NaN,5,239,"$22,275",0,0,$0,,
A Christmas Story Austin,5,0,$0,NaN,0,5,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Bay City,6,0,$0,NaN,0,6,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Cary,5,0,$0,NaN,0,5,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Cincinnati,8,4,$348,$87,1,8,4,$348,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Cleveland,63,58,"$5,800",$100,1,63,58,"$5,800",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Hartford,5,0,$0,NaN,0,5,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Indianapolis,8,0,$0,NaN,0,8,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Indianapolis Parking Passes,8,0,$0,NaN,0,8,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Newport News,2,0,$0,NaN,0,2,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story North Charleston,3,0,$0,NaN,0,3,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Rochester,8,0,$0,NaN,0,8,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Scranton,5,0,$0,NaN,0,5,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Spokane,19,8,$624,$78,0,19,8,$624,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Christmas Story Worcester,6,0,$0,NaN,0,6,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Clockwork Orange New York,129,8,$680,$85,0,129,8,$680,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Day to Remember,135,16664,"$1,241,607",$75,123,124,13973,"$975,788",0,0,$0,NaN,10,2680,"$265,151",1,11,$668,106,"$1,984"
A Decade of Soul,365,76,"$4,028",$53,0,365,76,"$4,028",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Delicate Balance,9,37,"$7,144",$193,4,0,0,$0,0,0,$0,NaN,9,37,"$7,144",0,0,$0,,
A Dolls House New York,199,239,"$42,860",$179,1,199,239,"$42,860",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Flock of Seagulls,6,29,"$2,581",$89,5,6,29,"$2,581",0,0,$0,NaN,0,0,$0,0,0,$0,,
A Frank's Christmas,18,0,$0,NaN,0,18,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Funny Thing Happened On The Way to the Forum Philadelphia,42,8,$432,$54,0,42,8,$432,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Funny Thing Happened on the Way to the Gynecologic Oncology Unit Los Angeles,24,0,$0,NaN,0,24,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Gentleman's Guide To Love And Murder,38,0,$0,NaN,0,38,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Gentleman's Guide To Love And Murder Austin,7,0,$0,NaN,0,7,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Gentleman's Guide To Love And Murder Austin Parking Passes,7,0,$0,NaN,0,7,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Gentleman's Guide To Love And Murder Milwaukee,8,0,$0,NaN,0,8,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Gentleman's Guide to Love and Murder Portland,8,0,$0,NaN,0,8,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Gentleman's Guide To Love And Murder Tulsa,8,0,$0,NaN,0,8,0,$0,0,0,$0,NaN,0,0,$0,0,0,$0,,
A Gentlemans Guide to Love and Murder,80,129,"$8,395",$65,2,79,127,"$8,038",0,0,$0,NaN,1,2,$357,0,0,$0,,
