Wizard of Oz|46| $114 |28|0|41|1455|424|50| $79 |54|1211|108458
Hamilton|1987| $414 |275|653|21522|225019|1221|1642| $195 |666|306239|184340987
Dear Evan Hansen|336| $356 |61|297|9966|51499|135|356| $302 |180|67851|24357080
Hello Dolly|149| $252 |33|131|4764|39446|261|183| $260 |140|25593|9092253
Escape to Margaritaville|351| $170 |17|2|134|62671|475|0|#DIV/0!|0|0|0
Wicked|1222| $131 |318|58|1842|118406|1223|2749| $127 |649|70469|11437885
Aladdin|788| $121 |104|115|1411|63688|815|1659| $86 |145|115894|15289907
Charlie and the Chocolate Factory|262| $124 |4|5|108|47641|162|172| $96 |37|7584|971095
Miss Saigon|290| $180 |2|0|50|24190|174|167| $96 |6|1060|149068
Lion King|728| $130 |69|31|784|57714|1075|2548| $134 |218|55445|10498898
Cats|134| $161 |2|0|28|21802|148|401| $161 |14|3441|612898
Motown|732| $150 |7|5|50|33003|733|326| $82 |115|4808|514797
School of Rock|935| $124 |39|0|141|58958|1445|746| $90 |15|9928|1635158
Waitress|707| $95 |49|9|235|55539|1535|557| $172 |12|5955|1218067
Groundhog Day|143| $153 |3|2|76|21156|151|179| $108 |12|2954|372046
Phantom of the Opera|631| $132 |54|25|752|56800|1151|2214| $113 |233|21437|2897340
Beautiful|483| $135 |290|45|1851|32664|949|1646| $138 |45|14718|3121336
Chicago the Musical|536| $142 |8|0|46|49054|329|708| $96 |16|2681|374344
War Paint|142| $113 |4|0|38|13351|80|139| $150 |5|830|159727
Bronx Tale|338| $155 |28|29|219|19426|50|323| $122 |54|5285|974135
Kinky Boots|754| $102 |35|6|122|52729|1035|1946| $99 |118|27636|6102641
Anastasia|562| $170 |2|6|64|12327|89|176| $150 |13|3267|517833
Avenue Q|543| $90 |2|0|16|9459|43|1513| $73 |5|2835|275387
The Bodyguard|200| $90 |31|0|109|8088|838|0|#DIV/0!|0|0|0
Little Mermaid|99| $92 |68|6|504|2187|280|4| $62 |9|14|826
Beauty and the Beast|23| $140 |25|8|25|515|162|30| $88 |178|3050| $356,889 
The King and I|291| $106 |68|19|440|15371|1440|20| $78 |19|75| $6,627 
Mamma Mia|251| $128 |5|0|5|1698|92|44| $98 |80|1269| $154,214 
The Sound of Music|150| $126 |55|18|422|8629|1136|92| $102 |171|2346| $283,872 
Disney on Ice Follow your Heart|152| $49 |24|7|136|6278|809|0|#DIV/0!|0|0| $-   
Disney on Ice Reach for the Stars|54| $40 |11|3|23|6209|770|0|#DIV/0!|0|0| $-   
Disney on Ice Dare to Dream|174| $59 |82|14|373|30352|2810|23| $37 |275|2111| $65,186 
Waitress|707| $95 |49|9|235|55539|1535|557| $172 |12|5955| $1,218,067 
Finding Neverland|239| $94 |29|2|95|7191|790|0|#DIV/0!|0|0| $-   
Dirty Dancing|79|#DIV/0!|0|0|0|1406|403|18| $58 |14|112| $11,235 
Cendrillon|8|#DIV/0!|0|0|0|687|85|0|#DIV/0!|0|0| $-   
Shen Yun|37|#DIV/0!|0|0|0|628|56|142| $125 |4|993| $150,496 
Thriller Live|280|#DIV/0!|0|0|0|14|14|47| $48 |2|125| $6,059 
A Night With Janis Joplin|46|#DIV/0!|0|0|0|357|343|2| $106 |3|6| $628 
