Category,Upcoming_Events,Med_Sale_Price,Med_Qty,Yest,Qty_Sold,Qty_Listed,Med_Qty_listed,Past_Events,Med_Sale_past,Med_Qty_Sold_past,Total_Qty_Sold_past,TD_Vol
!!! - chk chk chk,0,NaN,0,0,0,4,4,37,20,7,253,5060
"""Kenny """"Babyface"""" Edmonds""",0,NaN,,,0,,,0,NaN,0,0,0
2 Chainz,0,64,29,5,562,1106,63,163,192,40,11305,745625
2 Chicago,0,NaN,,,0,,,20,128,36,1194,152832
2 Dope Queens,0,69,4,0,18,49,7,22,61,15,389,24971
2AM,0,NaN,,,0,,,1,90,47,47,4230
2CELLOS,4,98,37,9,822,2620,122,68,6891,194,8959,1039912
2NE1,0,NaN,,,0,,,2,112,202,405,45360
2pm,0,NaN,,,0,,,4,113,56,231,26103
3 Doors Down,0,105,21,0,21,40,40,165,97,22,4916,409107
3 Inches of Blood,0,NaN,,,0,,,3,20,92,184,3680
3 Redneck Tenors,0,NaN,0,0,0,16,16,1,NaN,0,0,0
3 Redneck Tenors Parking Passes,0,NaN,0,0,0,,0,1,NaN,0,0,0
3LAU,0,NaN,,,0,,,39,93,22,1371,44587
3oh!3,0,NaN,,,0,,,1,64,0,64,3576
3OH3,0,NaN,,,0,,,44,37,6,557,20609
5 Seconds of Summer,14,184,,,712,,,160,13052,930,155874,14110039
5 Seconds of Summer Parking Passes,0,NaN,,,0,,,51,22,12,750,16500
5quad,0,NaN,,,0,,,14,36,4,50,1800
5th Dimension,0,NaN,,,0,,,15,64,4,45,2880
6ix9ine,2,42,,,14,,,0,NaN,0,0,586
6LACK,1,46,35,35,1414,7798,254,70,10207,116,12088,594770
8th Annual Radio 104.5 Birthday Show,0,NaN,,,0,,,1,2414,0,2414,206807
10 Years,0,NaN,,,0,,,91,39,3,136,5304
10 Years Diynamic with Solomun and Adriatique,0,NaN,,,0,,,1,119,0,119,14927
10cc,0,NaN,,,0,,,10,50,4,51,2550
12th Planet,0,NaN,,,0,,,33,45,3,118,5310
16 Candles,0,NaN,,,0,,,43,26,8,101,2626
21 Savage,0,49,11,1,23,164,82,56,458,50,5793,267982
24hrs,0,NaN,,,0,,,0,NaN,0,0,0
30 Seconds to Mars,0,NaN,,,0,,,27,68,101,5302,359418
38 Special,0,91,4,2,18,96,15,114,73,7,1063,80573
42nd Street London,0,NaN,0,0,0,3,3,23,49,2,7,343
50 Cent,0,NaN,,,0,,,12,125,99,1912,109270
50 Shades The Smash Hit Parody Las Vegas,0,NaN,0,0,0,,0,90,175,2,2,350
51st State Festival,0,NaN,,,0,,,2,65,39,79,5135
54-40,0,53,18,0,18,55,27,13,55,18,162,9864
55,0,2,0,6,204,5,136,228,8,1425,145396,1163576
55,0,2,0,6,204,5,136,228,8,1425,145396,1163576
70s Soul Jam,0,NaN,,,0,,,28,118,12,461,54398
80s Rewind Festival,0,NaN,,,0,,,5,80,14,63,5040
80s Weekend,0,160,26,0,26,319,319,4,123,265,671,86693
88rising,0,NaN,,,0,,,3,823,0,823,80547
89X Chill on the Hill,0,NaN,,,0,,,1,236,0,236,18736
89x Nutcracker,0,NaN,,,0,,,1,32,74,74,2368
90s Fest,0,NaN,,,0,,,3,50,4,38,1900
90s Love Fest,0,47,12,0,12,2,2,1,NaN,0,0,564
91x Wrex the Halls,0,98,14,4,14,909,909,9,538,411,3335,282333
91x X Fest,0,NaN,,,0,,,6,67,353,2407,103785
92.5 XTU Anniversary Show,1,33,,,256,,,3,48,490,1280,69844
93.5 KDAY Hip-Hop Harvest,0,NaN,,,0,,,1,202,0,202,7522
93XRT Goose Island Big Holiday Concert,0,NaN,,,0,,,1,1119,0,1119,110714
94.5 The Buzz/Bud Light Weenie Roast,0,NaN,,,0,,,1,173,0,173,14951
96.5 All Star Christmas,0,NaN,,,0,,,1,839,0,839,107585
97.1 B.F.D.,0,NaN,,,0,,,1,27,406,406,10962
97X Next Big Thing,0,NaN,,,0,,,5,1615,0,1615,163809
98 Degrees,0,126,3,0,109,2015,59,82,112,68,3400,189513
98 Rockfest,0,NaN,,,0,,,10,59,206,3238,191042
98 Rockfest Parking Passes,0,NaN,,,0,,,3,19,8,17,323
98.1 the Bull Presents Acoustic Jam,0,NaN,,,0,,,2,117,0,117,13115
98.5 KRZ Summer Smash,0,NaN,,,0,,,1,75,59,59,4425
98Rockfest,0,NaN,,,0,,,1,1103,0,1103,119587
99.5 WYCD Hoedown,1,163,,,15,,,0,NaN,0,0,2449
99.7 NOW! Summer Splash,0,NaN,,,0,,,1,75,88,88,6600
99.7 Triple Ho Show,0,NaN,,,0,,,6,1650,883,14551,1825644
99.9 Kiss Country Stars and Guitars,0,NaN,,,0,,,1,273,0,273,29206
