"event_name","parent_category","child_category","available_tixs","value","avg_tix_price","last_event_date","venues","dates","tix_sold_in_date_range","avg_sold_price_in_date_range","last_refreshed"
"Hamilton","THEATRE","MUSICAL / PLAY","616295","722337021.970000","725.090000","11/17/2019 6:30:00 PM","41","1095","3677","389.6940","7/18/2018 11:45:00 AM"
"The Lion King","THEATRE","BROADWAY","224612","241967482.820000","630.600000","3/10/2019 3:00:00 PM","2","325","185","205.9365","7/18/2018 11:45:00 AM"
"Mean Girls","THEATRE","BROADWAY","330312","236720842.380000","438.590000","7/7/2019 7:30:00 PM","2","482","365","219.1840","7/18/2018 11:45:00 AM"
"Hamilton","THEATRE","BROADWAY","143979","230733028.420000","1097.010000","5/19/2019 3:00:00 PM","2","626","668","456.0702","7/18/2018 11:45:00 AM"
"Summer - The Donna Summer Musical","THEATRE","BROADWAY","283706","229220906.920000","807.950000","4/7/2019 3:00:00 PM","1","303","70","189.0333","7/18/2018 11:45:00 AM"
"The Band's Visit","THEATRE","BROADWAY","296983","216102238.160000","420.060000","6/30/2019 3:00:00 PM","2","413","99","179.6000","7/18/2018 11:45:00 AM"
"Aladdin","THEATRE","BROADWAY","302925","213604667.730000","422.070000","3/10/2019 3:00:00 PM","2","328","255","120.4216","7/18/2018 11:45:00 AM"
"Anastasia","THEATRE","BROADWAY","344054","193979714.930000","563.810000","6/23/2019 3:00:00 PM","1","391","65","136.7368","7/18/2018 11:45:00 AM"
"Waitress","THEATRE","BROADWAY","232136","181795893.450000","783.140000","3/31/2019 7:00:00 PM","1","295","21","166.7000","7/18/2018 11:45:00 AM"
"Wicked","THEATRE","BROADWAY","336457","179389771.160000","342.720000","3/3/2019 7:00:00 PM","2","313","178","167.0000","7/18/2018 11:45:00 AM"
"To Kill A Mockingbird","THEATRE","BROADWAY","103986","173879450.980000","1061.080000","3/17/2019 3:00:00 PM","2","150","44","138.7500","7/18/2018 11:45:00 AM"
"Come From Away","THEATRE","BROADWAY","202504","168809548.510000","833.610000","6/16/2019 3:00:00 PM","1","382","54","191.0000","7/18/2018 11:45:00 AM"
"Wicked","THEATRE","MUSICAL / PLAY","369621","134298214.340000","257.870000","8/11/2019 6:30:00 PM","22","501","2301","153.3722","7/18/2018 11:45:00 AM"
"Come From Away","THEATRE","MUSICAL / PLAY","200053","133546084.070000","432.700000","9/1/2019 7:30:00 PM","36","543","252","157.8555","7/18/2018 11:45:00 AM"
"The Book Of Mormon","THEATRE","BROADWAY","228201","128905104.760000","346.470000","3/24/2019 7:00:00 PM","2","338","200","156.6781","7/18/2018 11:45:00 AM"
"Dear Evan Hansen","THEATRE","BROADWAY","245156","126912091.200000","364.500000","5/12/2019 3:00:00 PM","4","452","604","223.9122","7/18/2018 11:45:00 AM"
"Frozen - The Musical","THEATRE","BROADWAY","246410","120783796.400000","595.440000","3/10/2019 3:00:00 PM","2","338","1231","144.7066","7/18/2018 11:45:00 AM"
"Elton John","CONCERTS","POP / ROCK","154929","117883936.710000","1396.050000","9/11/2019 8:00:00 PM","108","156","32122","257.6922","7/18/2018 11:45:00 AM"
"Gettin' The Band Back Together","THEATRE","BROADWAY","400712","113791300.020000","283.970000","12/22/2019 7:30:00 PM","1","637","3","320.0000","7/18/2018 11:45:00 AM"
"Radio City Christmas Spectacular","THEATRE","DANCE","449585","112460897.300000","250.140000","1/1/2019 8:00:00 PM","1","196","307","151.9042","7/18/2018 11:45:00 AM"
"The Prom","THEATRE","BROADWAY","352315","106148767.910000","301.290000","10/20/2019 3:00:00 PM","1","411","0","0.0000","7/18/2018 11:45:00 AM"
"Chicago - The Musical","THEATRE","BROADWAY","281914","104423821.820000","231.490000","3/31/2019 7:00:00 PM","3","310","114","149.8775","7/18/2018 11:45:00 AM"
"The Cher Show","THEATRE","BROADWAY","138961","93348240.120000","566.380000","5/26/2019 3:00:00 PM","2","235","37","188.5000","7/18/2018 11:45:00 AM"
"Aladdin","THEATRE","MUSICAL / PLAY","277234","92997932.050000","230.460000","9/7/2019 7:30:00 PM","28","481","679","123.3096","7/18/2018 11:45:00 AM"
"Irving Berlin's Holiday Inn","THEATRE","MUSICAL / PLAY","43822","90026701.950000","1077.230000","1/6/2019 1:00:00 PM","3","125","4","81.5000","7/18/2018 11:45:00 AM"
"Once On This Island","THEATRE","BROADWAY","202075","89405158.010000","442.440000","9/29/2019 7:30:00 PM","1","500","10","196.5000","7/18/2018 11:45:00 AM"
